thomas_num,thomas_name,icpsr,congress,year,st_name,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,upperyrs,loweryrs,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag,com_aerospace,com_agr,com_approp,com_armedserv,com_bank,com_budget,com_comm,com_DC,com_energy,com_finance,com_fr,com_gov,com_interior,com_jud,com_labor,com_post,com_publ,com_rules,com_vet,selcom_nut,selcom_pca,selcom_smallbus,selcom_standards,speccom_aging,speccom_questions,speccom_emer,selcom_intel,selcom_natlemergency,selcom_irannicaragua,selcom_ethics,selcom_indian,com_jointecon,com_jointlibrary,com_jointprinting,com_jointorgcongress
61,WILLIAMS H,10147,93,1972,NEW JER,1,1,1958,0,0,0,55,3025,-0.355,,,,1,1,,,3,9,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,DOMENICI P,14103,93,1972,NEW MEX,0,0,1972,0,0,0,54,2916,0.207,,,,0,0,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,MONTOYA J,6611,93,1972,NEW MEX,1,1,1964,0,0,1,52,2704,-0.208,,,,0,1,,,2,4,1,,6,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,JAVITS J,4898,93,1972,NEW YOR,0,0,1956,0,0,0,50,2500,-0.181,,,,0,0,,,3,9,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,BUCKLEY J,13100,93,1972,NEW YOR,112,-,1970,0,0,0,39,1521,0.495,,,,0,0,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ERVIN S,2987,93,1972,NORTH C,1,1,1954,0,0,0,61,3721,-0.008,,,,1,1,,,3,9,1,,0,3,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,HELMS J,14105,93,1972,NORTH C,0,0,1972,0,0,0,54,2916,0.55,,,,0,0,,,1,1,0,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,BURDICK Q,1252,93,1972,NORTH D,1,1,1960,0,0,0,61,3721,-0.345,,,,0,1,,,2.5,6.25,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,YOUNG M,10450,93,1972,NORTH D,0,0,1945,0,0,0,65,4225,0.147,,,,0,0,,,4.5,20.25,1,,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,TAFT R,10630,93,1972,OHIO,0,0,1970,0,0,0,50,2500,0.262,,,,0,0,,,1,1,1,,0,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
