mc,icpsrLegis,seniority,congress
COLEMAN (R MN),40302,1,109
DOLE (R NC),40303,1,109
ALEXANDER (R TN),40304,1,109
BURR (R NC),29548,0,109
COBURN (R OK),29555,0,109
THUNE (R SD),29754,0,109
ISAKSON (R GA),29909,0,109
VITTER (R LA),29918,0,109
DEMINT (R SC),29936,0,109
SALAZAR (D CO),40500,0,109
MARTINEZ (R FL),40501,0,109
OBAMA (D IL),40502,0,109
MENENDEZ (D NJ),29373,0,109
BYRD (D WV),1366,22,108
KENNEDY (D MA),10808,21,108
INOUYE (D HI),4812,20,108
HOLLINGS (D SC),11204,19,108
STEVENS (R AK),12109,18,108
BIDEN (D DE),14101,15,108
DOMENICI (R NM),14103,15,108
LEAHY (D VT),14307,14,108
SARBANES (D MD),13039,13,108
HATCH (R UT),14503,13,108
LUGAR (R IN),14506,13,108
COCHRAN (R MS),14009,13,108
BAUCUS (D MT),14203,13,108
LEVIN (D MI),14709,12,108
WARNER (R VA),14712,12,108
DODD (D CT),14213,11,108
GRASSLEY (R IA),14226,11,108
NICKLES (R OK),14908,11,108
SPECTER (R PA),14910,11,108
LAUTENBERG (D NJ),14914,0,108
BINGAMAN (D NM),14912,10,108
HARKIN (D IA),14230,9,108
KERRY (D MA),14920,9,108
MCCONNELL (R KY),14921,9,108
ROCKEFELLER (D WV),14922,9,108
BREAUX (D LA),13056,8,108
MIKULSKI (D MD),14440,8,108
DASCHLE (D SD),14617,8,108
